Medición;Posición;Dist a fuente;T de integ;50;63;80;100;125;160;200;250;315;400;500;630;800;1000;1300;1600;2000;2500;3200;4000;5000;6300;8000;10000;12500;SNR
1;1;6.4;10;33.196;42.993;53.553;57.547;57.117;62.335;63.296;64.972;66.949;70.913;71.408;69.11;69.804;68.07;65.645;64.726;63.53;61.345;58.214;54.827;51.618;47.401;42.888;37.004;31.185;57.18584
1;1;6.4;100;31.243;43.221;52.556;58.738;57.695;58.416;60.359;61.774;64.566;65.529;65.978;65.361;67.39;68.241;67.14;65.857;64.035;62.439;59.876;56.549;53.488;49.958;45.768;39.583;32.73;56.7396
1;1;6.4;350;32.094;33.033;34.159;36.549;36.887;34.401;33.596;33.222;34.6;34.141;34.551;31.843;34.212;35.722;36.937;40.007;40.397;42.47;44.505;46.285;48.948;50.188;48.181;43.008;36.685;38.26484
2;1;6.4;10;41.936;49.511;56.946;58.48;61.47;63.86;63.704;65.223;66.845;60.761;57.932;55.528;64.398;65.509;63.657;62.943;61.316;59.395;56.563;52.513;49.049;46.185;43.28;39.234;34.274;56.02048
2;1;6.4;100;45.252;53.401;57.358;56.313;55.564;56.215;57.561;61.497;62.537;63.491;60.861;59.536;57.964;63.988;64.199;62.747;61.542;59.549;57.039;53.611;50.202;47.327;44.228;40.28;35.506;55.51072
2;1;6.4;350;33.282;37.331;34.96;32.528;31.243;28.757;28.604;29.704;31.338;32.38;32.549;32.206;33.228;33.836;34.584;36.236;37.223;39.587;42.451;43.357;45.736;47.637;47.195;42.815;36.232;36.19996
3;1;6.4;10;40.28;48.256;55.306;56.539;56.81;61.181;62.406;65.237;67.455;61.476;58.397;56.071;65.016;65.162;63.539;63.188;61.647;59.448;54.232;51.048;48.788;46.736;44.264;40.601;37.402;55.6194
3;1;6.4;100;43.848;51.436;54.814;54.926;54;54.678;58.385;63.102;63.755;64.015;61.015;60.18;58.895;64.166;64.236;63.586;62.199;60.186;55.645;52.92;51.104;49.111;46.775;42.861;39.329;55.80668
3;1;6.4;350;33.438;38.012;36.69;33.452;31.347;29.463;29.29;30.18;31.122;31.846;32.201;31.966;32.556;33.213;34.013;37.477;38.752;40.611;40.364;43.116;46.46;49.715;49.978;45.532;40.565;36.85436
4;1;6.4;10;44.596;47.793;47.463;52.096;52.213;58.293;60.395;65.147;66.086;63.311;60.378;58.401;64.216;63.368;60.742;58.343;56.774;54.244;51.582;48.549;46.944;45.028;43.829;39.151;33.634;53.70304
4;1;6.4;100;39.015;47.2;47.922;52.479;51.125;55.759;56.98;60.789;62.456;63.372;60.237;58.281;57.686;62.492;61.975;60.096;59.064;56.612;53.741;50.385;48.198;45.555;43.448;38.249;32.608;53.02896
